,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
218690,1845-05-01,23.246,1.265,Taipei,Taiwan,24.92N,122.36E
218691,1845-06-01,26.071,1.283,Taipei,Taiwan,24.92N,122.36E
218692,1845-07-01,27.856,1.442,Taipei,Taiwan,24.92N,122.36E
218693,1845-08-01,27.146,1.12,Taipei,Taiwan,24.92N,122.36E
218694,1845-09-01,24.913,1.352,Taipei,Taiwan,24.92N,122.36E
218695,1845-10-01,22.325000000000006,1.236,Taipei,Taiwan,24.92N,122.36E
218696,1845-11-01,19.924,1.513,Taipei,Taiwan,24.92N,122.36E
218697,1845-12-01,16.058,1.71,Taipei,Taiwan,24.92N,122.36E
218698,1846-01-01,16.805,2.241,Taipei,Taiwan,24.92N,122.36E
218699,1846-02-01,16.948999999999998,2.089,Taipei,Taiwan,24.92N,122.36E
218700,1846-03-01,18.34,2.024,Taipei,Taiwan,24.92N,122.36E
218701,1846-04-01,19.932,1.577,Taipei,Taiwan,24.92N,122.36E
218702,1846-05-01,22.395,1.5619999999999998,Taipei,Taiwan,24.92N,122.36E
218703,1846-06-01,26.147,1.536,Taipei,Taiwan,24.92N,122.36E
218704,1846-07-01,27.946,1.4580000000000002,Taipei,Taiwan,24.92N,122.36E
218705,1846-08-01,28.031,1.137,Taipei,Taiwan,24.92N,122.36E
218706,1846-09-01,26.122,1.4240000000000002,Taipei,Taiwan,24.92N,122.36E
218707,1846-10-01,23.239,1.39,Taipei,Taiwan,24.92N,122.36E
218708,1846-11-01,20.251,1.581,Taipei,Taiwan,24.92N,122.36E
218709,1846-12-01,18.971,1.5830000000000002,Taipei,Taiwan,24.92N,122.36E
218710,1847-01-01,16.575,4.755,Taipei,Taiwan,24.92N,122.36E
218711,1847-02-01,16.052,1.773,Taipei,Taiwan,24.92N,122.36E
218712,1847-03-01,17.759,3.005,Taipei,Taiwan,24.92N,122.36E
218713,1847-04-01,20.658,1.362,Taipei,Taiwan,24.92N,122.36E
218714,1847-05-01,22.679,1.255,Taipei,Taiwan,24.92N,122.36E
218715,1847-06-01,25.103,1.5830000000000002,Taipei,Taiwan,24.92N,122.36E
218716,1847-07-01,27.94100000000001,1.844,Taipei,Taiwan,24.92N,122.36E
218717,1847-08-01,27.266,1.995,Taipei,Taiwan,24.92N,122.36E
218718,1847-09-01,26.017,1.061,Taipei,Taiwan,24.92N,122.36E
218719,1847-10-01,22.862,1.144,Taipei,Taiwan,24.92N,122.36E
218720,1847-11-01,21.767,1.383,Taipei,Taiwan,24.92N,122.36E
218721,1847-12-01,17.67,1.921,Taipei,Taiwan,24.92N,122.36E
218722,1848-01-01,15.508,2.064,Taipei,Taiwan,24.92N,122.36E
218723,1848-02-01,16.294999999999998,2.439,Taipei,Taiwan,24.92N,122.36E
218724,1848-03-01,17.503,1.351,Taipei,Taiwan,24.92N,122.36E
218725,1848-04-01,19.533,2.177,Taipei,Taiwan,24.92N,122.36E
218726,1848-05-01,23.731,1.827,Taipei,Taiwan,24.92N,122.36E
218727,1848-06-01,25.132,1.361,Taipei,Taiwan,24.92N,122.36E
218728,1848-07-01,27.290000000000006,2.676,Taipei,Taiwan,24.92N,122.36E
218729,1848-08-01,26.456000000000003,1.499,Taipei,Taiwan,24.92N,122.36E
218730,1848-09-01,25.171,1.212,Taipei,Taiwan,24.92N,122.36E
218731,1848-10-01,23.104000000000006,1.4580000000000002,Taipei,Taiwan,24.92N,122.36E
218732,1848-11-01,18.959,1.999,Taipei,Taiwan,24.92N,122.36E
218733,1848-12-01,17.624000000000006,1.59,Taipei,Taiwan,24.92N,122.36E
218734,1849-01-01,16.108999999999998,1.695,Taipei,Taiwan,24.92N,122.36E
218735,1849-02-01,17.933999999999994,1.968,Taipei,Taiwan,24.92N,122.36E
218736,1849-03-01,18.409,1.739,Taipei,Taiwan,24.92N,122.36E
218737,1849-04-01,19.164,1.768,Taipei,Taiwan,24.92N,122.36E
218738,1849-05-01,22.715,1.18,Taipei,Taiwan,24.92N,122.36E
218739,1849-06-01,24.98,1.571,Taipei,Taiwan,24.92N,122.36E
218740,1849-07-01,26.904,1.49,Taipei,Taiwan,24.92N,122.36E
218741,1849-08-01,27.384,1.016,Taipei,Taiwan,24.92N,122.36E
218742,1849-09-01,25.622,1.091,Taipei,Taiwan,24.92N,122.36E
218743,1849-10-01,23.4,1.2990000000000002,Taipei,Taiwan,24.92N,122.36E
218744,1849-11-01,20.186,2.161,Taipei,Taiwan,24.92N,122.36E
218745,1849-12-01,17.409000000000002,1.704,Taipei,Taiwan,24.92N,122.36E
218746,1850-01-01,15.836,1.7009999999999998,Taipei,Taiwan,24.92N,122.36E
218747,1850-02-01,16.554000000000002,2.093,Taipei,Taiwan,24.92N,122.36E
218748,1850-03-01,18.426,2.306,Taipei,Taiwan,24.92N,122.36E
218749,1850-04-01,19.843,2.175,Taipei,Taiwan,24.92N,122.36E
218750,1850-05-01,23.176,2.252,Taipei,Taiwan,24.92N,122.36E
218751,1850-06-01,25.773000000000003,1.238,Taipei,Taiwan,24.92N,122.36E
218752,1850-07-01,27.429,1.114,Taipei,Taiwan,24.92N,122.36E
218753,1850-08-01,27.735000000000007,1.797,Taipei,Taiwan,24.92N,122.36E
218754,1850-09-01,25.456,1.034,Taipei,Taiwan,24.92N,122.36E
218755,1850-10-01,23.456,1.675,Taipei,Taiwan,24.92N,122.36E
218756,1850-11-01,20.716,1.6869999999999998,Taipei,Taiwan,24.92N,122.36E
218757,1850-12-01,18.108,2.104,Taipei,Taiwan,24.92N,122.36E
218758,1851-01-01,17.276,1.5930000000000002,Taipei,Taiwan,24.92N,122.36E
218759,1851-02-01,16.772000000000002,1.745,Taipei,Taiwan,24.92N,122.36E
218760,1851-03-01,17.543,1.71,Taipei,Taiwan,24.92N,122.36E
218761,1851-04-01,19.271,1.834,Taipei,Taiwan,24.92N,122.36E
218762,1851-05-01,23.054,1.112,Taipei,Taiwan,24.92N,122.36E
218763,1851-06-01,24.959,1.507,Taipei,Taiwan,24.92N,122.36E
218764,1851-07-01,27.785,1.237,Taipei,Taiwan,24.92N,122.36E
218765,1851-08-01,27.641,1.3119999999999998,Taipei,Taiwan,24.92N,122.36E
218766,1851-09-01,25.14,1.003,Taipei,Taiwan,24.92N,122.36E
218767,1851-10-01,22.668000000000003,2.604,Taipei,Taiwan,24.92N,122.36E
218768,1851-11-01,21.664,2.408,Taipei,Taiwan,24.92N,122.36E
218769,1851-12-01,18.486,2.858,Taipei,Taiwan,24.92N,122.36E
218770,1852-01-01,16.927,2.357,Taipei,Taiwan,24.92N,122.36E
218771,1852-02-01,15.956,1.591,Taipei,Taiwan,24.92N,122.36E
218772,1852-03-01,16.77,1.616,Taipei,Taiwan,24.92N,122.36E
218773,1852-04-01,19.581,1.515,Taipei,Taiwan,24.92N,122.36E
218774,1852-05-01,23.901,1.331,Taipei,Taiwan,24.92N,122.36E
218775,1852-06-01,26.53,1.622,Taipei,Taiwan,24.92N,122.36E
218776,1852-07-01,28.677,1.4280000000000002,Taipei,Taiwan,24.92N,122.36E
218777,1852-08-01,27.26,1.12,Taipei,Taiwan,24.92N,122.36E
218778,1852-09-01,25.165,1.308,Taipei,Taiwan,24.92N,122.36E
218779,1852-10-01,23.741,1.399,Taipei,Taiwan,24.92N,122.36E
218780,1852-11-01,20.717,2.01,Taipei,Taiwan,24.92N,122.36E
218781,1852-12-01,17.507,2.207,Taipei,Taiwan,24.92N,122.36E
218782,1853-01-01,15.798999999999998,1.788,Taipei,Taiwan,24.92N,122.36E
218783,1853-02-01,15.34,1.7280000000000002,Taipei,Taiwan,24.92N,122.36E
218784,1853-03-01,18.814,2.332,Taipei,Taiwan,24.92N,122.36E
218785,1853-04-01,20.854,1.6909999999999998,Taipei,Taiwan,24.92N,122.36E
218786,1853-05-01,23.877,1.136,Taipei,Taiwan,24.92N,122.36E
218787,1853-06-01,26.375,0.949,Taipei,Taiwan,24.92N,122.36E
218788,1853-07-01,28.545,1.067,Taipei,Taiwan,24.92N,122.36E
218789,1853-08-01,27.271,1.882,Taipei,Taiwan,24.92N,122.36E
218790,1853-09-01,26.29,0.904,Taipei,Taiwan,24.92N,122.36E
218791,1853-10-01,23.681,1.661,Taipei,Taiwan,24.92N,122.36E
218792,1853-11-01,21.881,2.059,Taipei,Taiwan,24.92N,122.36E
218793,1853-12-01,17.859,1.6840000000000002,Taipei,Taiwan,24.92N,122.36E
218794,1854-01-01,17.427999999999994,2.814,Taipei,Taiwan,24.92N,122.36E
218795,1854-02-01,16.397000000000002,1.883,Taipei,Taiwan,24.92N,122.36E
218796,1854-03-01,18.116,1.71,Taipei,Taiwan,24.92N,122.36E
218797,1854-04-01,19.921,1.07,Taipei,Taiwan,24.92N,122.36E
218798,1854-05-01,24.21,1.148,Taipei,Taiwan,24.92N,122.36E
218799,1854-06-01,26.079,1.3969999999999998,Taipei,Taiwan,24.92N,122.36E
218800,1854-07-01,28.701,1.23,Taipei,Taiwan,24.92N,122.36E
218801,1854-08-01,28.458,1.155,Taipei,Taiwan,24.92N,122.36E
218802,1854-09-01,25.582,0.828,Taipei,Taiwan,24.92N,122.36E
218803,1854-10-01,23.337,2.486,Taipei,Taiwan,24.92N,122.36E
218804,1854-11-01,20.506,1.432,Taipei,Taiwan,24.92N,122.36E
218805,1854-12-01,17.858,2.935,Taipei,Taiwan,24.92N,122.36E
218806,1855-01-01,14.762,2.579,Taipei,Taiwan,24.92N,122.36E
218807,1855-02-01,16.439999999999998,1.615,Taipei,Taiwan,24.92N,122.36E
218808,1855-03-01,18.039,1.065,Taipei,Taiwan,24.92N,122.36E
218809,1855-04-01,20.897,1.631,Taipei,Taiwan,24.92N,122.36E
218810,1855-05-01,24.554,1.436,Taipei,Taiwan,24.92N,122.36E
218811,1855-06-01,25.765,1.002,Taipei,Taiwan,24.92N,122.36E
218812,1855-07-01,27.974,0.998,Taipei,Taiwan,24.92N,122.36E
218813,1855-08-01,27.395000000000003,0.809,Taipei,Taiwan,24.92N,122.36E
218814,1855-09-01,25.72,0.784,Taipei,Taiwan,24.92N,122.36E
218815,1855-10-01,22.838,1.878,Taipei,Taiwan,24.92N,122.36E
218816,1855-11-01,20.44400000000001,1.277,Taipei,Taiwan,24.92N,122.36E
218817,1855-12-01,17.894000000000005,2.079,Taipei,Taiwan,24.92N,122.36E
218818,1856-01-01,14.680999999999996,2.186,Taipei,Taiwan,24.92N,122.36E
218819,1856-02-01,15.541,2.325,Taipei,Taiwan,24.92N,122.36E
218820,1856-03-01,17.296,1.538,Taipei,Taiwan,24.92N,122.36E
218821,1856-04-01,20.198,1.127,Taipei,Taiwan,24.92N,122.36E
218822,1856-05-01,23.492,1.845,Taipei,Taiwan,24.92N,122.36E
218823,1856-06-01,25.622,1.457,Taipei,Taiwan,24.92N,122.36E
218824,1856-07-01,27.513,1.614,Taipei,Taiwan,24.92N,122.36E
218825,1856-08-01,27.554,2.166,Taipei,Taiwan,24.92N,122.36E
218826,1856-09-01,26.284,1.924,Taipei,Taiwan,24.92N,122.36E
218827,1856-10-01,22.624,1.235,Taipei,Taiwan,24.92N,122.36E
218828,1856-11-01,20.153,1.942,Taipei,Taiwan,24.92N,122.36E
218829,1856-12-01,17.549000000000003,1.564,Taipei,Taiwan,24.92N,122.36E
218830,1857-01-01,16.270999999999994,1.69,Taipei,Taiwan,24.92N,122.36E
218831,1857-02-01,17.273,2.38,Taipei,Taiwan,24.92N,122.36E
218832,1857-03-01,18.15,1.7,Taipei,Taiwan,24.92N,122.36E
218833,1857-04-01,20.537,1.741,Taipei,Taiwan,24.92N,122.36E
218834,1857-05-01,22.939,1.067,Taipei,Taiwan,24.92N,122.36E
218835,1857-06-01,25.919,1.589,Taipei,Taiwan,24.92N,122.36E
218836,1857-07-01,28.040000000000006,1.366,Taipei,Taiwan,24.92N,122.36E
218837,1857-08-01,26.943,1.48,Taipei,Taiwan,24.92N,122.36E
218838,1857-09-01,25.06,0.831,Taipei,Taiwan,24.92N,122.36E
218839,1857-10-01,23.054,1.52,Taipei,Taiwan,24.92N,122.36E
218840,1857-11-01,20.407,1.415,Taipei,Taiwan,24.92N,122.36E
218841,1857-12-01,18.653,1.661,Taipei,Taiwan,24.92N,122.36E
218842,1858-01-01,16.596999999999998,2.063,Taipei,Taiwan,24.92N,122.36E
218843,1858-02-01,15.941999999999998,1.588,Taipei,Taiwan,24.92N,122.36E
218844,1858-03-01,17.499000000000002,1.251,Taipei,Taiwan,24.92N,122.36E
218845,1858-04-01,20.417,1.77,Taipei,Taiwan,24.92N,122.36E
218846,1858-05-01,22.829,1.361,Taipei,Taiwan,24.92N,122.36E
218847,1858-06-01,25.804,1.235,Taipei,Taiwan,24.92N,122.36E
218848,1858-07-01,27.197000000000006,1.035,Taipei,Taiwan,24.92N,122.36E
218849,1858-08-01,26.259,1.844,Taipei,Taiwan,24.92N,122.36E
218850,1858-09-01,25.523000000000003,1.263,Taipei,Taiwan,24.92N,122.36E
218851,1858-10-01,23.135,1.265,Taipei,Taiwan,24.92N,122.36E
218852,1858-11-01,20.586,1.375,Taipei,Taiwan,24.92N,122.36E
218853,1858-12-01,18.261000000000006,1.675,Taipei,Taiwan,24.92N,122.36E
218854,1859-01-01,16.107999999999997,1.41,Taipei,Taiwan,24.92N,122.36E
218855,1859-02-01,16.343999999999998,1.474,Taipei,Taiwan,24.92N,122.36E
218856,1859-03-01,16.925,1.592,Taipei,Taiwan,24.92N,122.36E
218857,1859-04-01,21.389,1.672,Taipei,Taiwan,24.92N,122.36E
218858,1859-05-01,24.099,1.141,Taipei,Taiwan,24.92N,122.36E
218859,1859-06-01,26.79,1.229,Taipei,Taiwan,24.92N,122.36E
218860,1859-07-01,27.239,1.017,Taipei,Taiwan,24.92N,122.36E
218861,1859-08-01,27.636000000000006,0.944,Taipei,Taiwan,24.92N,122.36E
218862,1859-09-01,25.516,0.95,Taipei,Taiwan,24.92N,122.36E
218863,1859-10-01,23.563,1.455,Taipei,Taiwan,24.92N,122.36E
218864,1859-11-01,19.952,1.755,Taipei,Taiwan,24.92N,122.36E
218865,1859-12-01,16.881,2.32,Taipei,Taiwan,24.92N,122.36E
218866,1860-01-01,16.188,1.276,Taipei,Taiwan,24.92N,122.36E
218867,1860-02-01,17.090999999999998,1.64,Taipei,Taiwan,24.92N,122.36E
218868,1860-03-01,17.255,2.343,Taipei,Taiwan,24.92N,122.36E
218869,1860-04-01,20.09,1.37,Taipei,Taiwan,24.92N,122.36E
218870,1860-05-01,22.676,0.996,Taipei,Taiwan,24.92N,122.36E
218871,1860-06-01,25.886,0.951,Taipei,Taiwan,24.92N,122.36E
218872,1860-07-01,27.182,1.072,Taipei,Taiwan,24.92N,122.36E
218873,1860-08-01,27.69,0.887,Taipei,Taiwan,24.92N,122.36E
218874,1860-09-01,25.562,1.432,Taipei,Taiwan,24.92N,122.36E
218875,1860-10-01,22.97600000000001,1.393,Taipei,Taiwan,24.92N,122.36E
218876,1860-11-01,19.686,1.585,Taipei,Taiwan,24.92N,122.36E
218877,1860-12-01,18.06600000000001,1.712,Taipei,Taiwan,24.92N,122.36E
218878,1861-01-01,15.573999999999998,1.763,Taipei,Taiwan,24.92N,122.36E
218879,1861-02-01,15.137999999999998,1.319,Taipei,Taiwan,24.92N,122.36E
218880,1861-03-01,17.15,1.243,Taipei,Taiwan,24.92N,122.36E
218881,1861-04-01,20.283,1.4069999999999998,Taipei,Taiwan,24.92N,122.36E
218882,1861-05-01,23.019,1.7080000000000002,Taipei,Taiwan,24.92N,122.36E
218883,1861-06-01,25.78,1.597,Taipei,Taiwan,24.92N,122.36E
218884,1861-07-01,27.966,1.827,Taipei,Taiwan,24.92N,122.36E
218885,1861-08-01,28.222,1.36,Taipei,Taiwan,24.92N,122.36E
218886,1861-09-01,25.083,0.987,Taipei,Taiwan,24.92N,122.36E
218887,1861-10-01,23.096,1.162,Taipei,Taiwan,24.92N,122.36E
218888,1861-11-01,20.76,1.742,Taipei,Taiwan,24.92N,122.36E
218889,1861-12-01,17.764000000000006,2.043,Taipei,Taiwan,24.92N,122.36E
218890,1862-01-01,13.820999999999998,2.005,Taipei,Taiwan,24.92N,122.36E
218891,1862-02-01,14.021,2.351,Taipei,Taiwan,24.92N,122.36E
218892,1862-03-01,16.262,1.527,Taipei,Taiwan,24.92N,122.36E
218893,1862-04-01,19.951,1.38,Taipei,Taiwan,24.92N,122.36E
218894,1862-05-01,23.477,1.521,Taipei,Taiwan,24.92N,122.36E
218895,1862-06-01,25.758000000000003,1.275,Taipei,Taiwan,24.92N,122.36E
218896,1862-07-01,27.719,1.293,Taipei,Taiwan,24.92N,122.36E
218897,1862-08-01,26.19,1.999,Taipei,Taiwan,24.92N,122.36E
218898,1862-09-01,25.479,1.378,Taipei,Taiwan,24.92N,122.36E
218899,1862-10-01,22.494,1.597,Taipei,Taiwan,24.92N,122.36E
218900,1862-11-01,19.018,1.995,Taipei,Taiwan,24.92N,122.36E
218901,1862-12-01,16.127000000000002,1.611,Taipei,Taiwan,24.92N,122.36E
218902,1863-01-01,16.651,2.461,Taipei,Taiwan,24.92N,122.36E
218903,1863-02-01,17.18,2.799,Taipei,Taiwan,24.92N,122.36E
218904,1863-03-01,17.593,1.334,Taipei,Taiwan,24.92N,122.36E
218905,1863-04-01,19.062,2.695,Taipei,Taiwan,24.92N,122.36E
218906,1863-05-01,22.701,1.838,Taipei,Taiwan,24.92N,122.36E
218907,1863-06-01,25.577,1.615,Taipei,Taiwan,24.92N,122.36E
218908,1863-07-01,28.635,2.13,Taipei,Taiwan,24.92N,122.36E
218909,1863-08-01,26.964,1.179,Taipei,Taiwan,24.92N,122.36E
218910,1863-09-01,25.068,1.042,Taipei,Taiwan,24.92N,122.36E
218911,1863-10-01,22.008000000000006,1.798,Taipei,Taiwan,24.92N,122.36E
218912,1863-11-01,18.99,3.113,Taipei,Taiwan,24.92N,122.36E
218913,1863-12-01,16.824,1.975,Taipei,Taiwan,24.92N,122.36E
218914,1864-01-01,14.168,2.692,Taipei,Taiwan,24.92N,122.36E
218915,1864-02-01,14.711,2.569,Taipei,Taiwan,24.92N,122.36E
218916,1864-03-01,15.739999999999998,3.014,Taipei,Taiwan,24.92N,122.36E
218917,1864-04-01,19.948,1.304,Taipei,Taiwan,24.92N,122.36E
218918,1864-05-01,22.906,1.481,Taipei,Taiwan,24.92N,122.36E
218919,1864-06-01,25.803,1.536,Taipei,Taiwan,24.92N,122.36E
218920,1864-07-01,27.865,0.929,Taipei,Taiwan,24.92N,122.36E
218921,1864-08-01,27.174000000000003,1.227,Taipei,Taiwan,24.92N,122.36E
218922,1864-09-01,25.347,1.346,Taipei,Taiwan,24.92N,122.36E
218923,1864-10-01,23.951,1.686,Taipei,Taiwan,24.92N,122.36E
218924,1864-11-01,20.145,1.365,Taipei,Taiwan,24.92N,122.36E
218925,1864-12-01,17.194000000000006,1.7719999999999998,Taipei,Taiwan,24.92N,122.36E
218926,1865-01-01,17.758,1.925,Taipei,Taiwan,24.92N,122.36E
218927,1865-02-01,17.352999999999998,3.642,Taipei,Taiwan,24.92N,122.36E
218928,1865-03-01,17.512,1.724,Taipei,Taiwan,24.92N,122.36E
218929,1865-04-01,20.639,2.572,Taipei,Taiwan,24.92N,122.36E
218930,1865-05-01,23.433000000000003,1.382,Taipei,Taiwan,24.92N,122.36E
218931,1865-06-01,26.279,1.224,Taipei,Taiwan,24.92N,122.36E
218932,1865-07-01,27.583,1.347,Taipei,Taiwan,24.92N,122.36E
218933,1865-08-01,27.89,1.384,Taipei,Taiwan,24.92N,122.36E
218934,1865-09-01,26.168000000000003,1.128,Taipei,Taiwan,24.92N,122.36E
218935,1865-10-01,23.305,1.23,Taipei,Taiwan,24.92N,122.36E
218936,1865-11-01,20.622,1.765,Taipei,Taiwan,24.92N,122.36E
218937,1865-12-01,17.32,1.616,Taipei,Taiwan,24.92N,122.36E
218938,1866-01-01,17.066,1.536,Taipei,Taiwan,24.92N,122.36E
218939,1866-02-01,16.596,1.787,Taipei,Taiwan,24.92N,122.36E
218940,1866-03-01,17.768,1.834,Taipei,Taiwan,24.92N,122.36E
218941,1866-04-01,18.852,1.651,Taipei,Taiwan,24.92N,122.36E
218942,1866-05-01,24.076,1.423,Taipei,Taiwan,24.92N,122.36E
218943,1866-06-01,24.673,1.218,Taipei,Taiwan,24.92N,122.36E
218944,1866-07-01,27.841,1.041,Taipei,Taiwan,24.92N,122.36E
218945,1866-08-01,28.697000000000006,1.665,Taipei,Taiwan,24.92N,122.36E
218946,1866-09-01,25.487,0.8909999999999999,Taipei,Taiwan,24.92N,122.36E
218947,1866-10-01,22.96,1.01,Taipei,Taiwan,24.92N,122.36E
218948,1866-11-01,20.053,1.364,Taipei,Taiwan,24.92N,122.36E
218949,1866-12-01,18.035,1.705,Taipei,Taiwan,24.92N,122.36E
218950,1867-01-01,16.177999999999994,1.331,Taipei,Taiwan,24.92N,122.36E
218951,1867-02-01,17.113999999999994,1.47,Taipei,Taiwan,24.92N,122.36E
218952,1867-03-01,18.93,1.633,Taipei,Taiwan,24.92N,122.36E
218953,1867-04-01,20.869,1.523,Taipei,Taiwan,24.92N,122.36E
218954,1867-05-01,23.259,0.861,Taipei,Taiwan,24.92N,122.36E
218955,1867-06-01,26.77,1.221,Taipei,Taiwan,24.92N,122.36E
218956,1867-07-01,,,Taipei,Taiwan,24.92N,122.36E
218957,1867-08-01,27.397,1.01,Taipei,Taiwan,24.92N,122.36E
218958,1867-09-01,25.81,1.3090000000000002,Taipei,Taiwan,24.92N,122.36E
218959,1867-10-01,24.234,1.031,Taipei,Taiwan,24.92N,122.36E
218960,1867-11-01,19.938,2.146,Taipei,Taiwan,24.92N,122.36E
218961,1867-12-01,18.358,2.26,Taipei,Taiwan,24.92N,122.36E
218962,1868-01-01,16.831,2.167,Taipei,Taiwan,24.92N,122.36E
218963,1868-02-01,16.895999999999994,3.1460000000000004,Taipei,Taiwan,24.92N,122.36E
218964,1868-03-01,17.605,1.305,Taipei,Taiwan,24.92N,122.36E
218965,1868-04-01,20.51,1.526,Taipei,Taiwan,24.92N,122.36E
218966,1868-05-01,23.445,1.25,Taipei,Taiwan,24.92N,122.36E
218967,1868-06-01,25.535,1.155,Taipei,Taiwan,24.92N,122.36E
218968,1868-07-01,27.807,0.8420000000000001,Taipei,Taiwan,24.92N,122.36E
218969,1868-08-01,27.59800000000001,1.097,Taipei,Taiwan,24.92N,122.36E
218970,1868-09-01,26.052,1.1840000000000002,Taipei,Taiwan,24.92N,122.36E
218971,1868-10-01,24.079,1.13,Taipei,Taiwan,24.92N,122.36E
218972,1868-11-01,21.207,1.636,Taipei,Taiwan,24.92N,122.36E
218973,1868-12-01,18.342,2.031,Taipei,Taiwan,24.92N,122.36E
218974,1869-01-01,16.796999999999993,2.121,Taipei,Taiwan,24.92N,122.36E
218975,1869-02-01,17.317999999999998,1.835,Taipei,Taiwan,24.92N,122.36E
218976,1869-03-01,17.654,1.554,Taipei,Taiwan,24.92N,122.36E
218977,1869-04-01,19.907,1.55,Taipei,Taiwan,24.92N,122.36E
218978,1869-05-01,23.952,1.171,Taipei,Taiwan,24.92N,122.36E
218979,1869-06-01,26.309,1.111,Taipei,Taiwan,24.92N,122.36E
218980,1869-07-01,28.221,1.079,Taipei,Taiwan,24.92N,122.36E
218981,1869-08-01,28.022,0.913,Taipei,Taiwan,24.92N,122.36E
218982,1869-09-01,26.608,1.026,Taipei,Taiwan,24.92N,122.36E
218983,1869-10-01,23.69400000000001,1.103,Taipei,Taiwan,24.92N,122.36E
